Stock,Date,Headline,URL,Content
Carnival Corporation,4/15/2020,Carnival Corp. stock underperforms Tuesday when compared to competitors,https://www.msn.com/en-us/money/topstocks/carnival-corp-stock-underperforms-tuesday-when-compared-to-competitors/ar-AA1AfOYO?ocid=BingNewsVerp,"Shares of Carnival Corp. shed 5.80% to $21.91 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index falling 1.22% to 5,778.15 and Dow ..."
Carnival Corporation,4/15/2020,Yahoo Finance,/news/search?q=site%3afinance.yahoo.com&FORM=NWBCLM,"The company was forced to issue lots of new stock, thereby diluting shareholders, and Carnival's outstanding share count is 90% higher than it was at the beginning of 2020. Carnival was forced to ..."
Carnival Corporation,4/15/2020,CNN,/news/search?q=site%3awww.cnn.com&FORM=NWBCLM,"Carnival Corp. engages in the operation of cruise ships. It operates through the following business segments: North America and Australia (NAA) Cruise, Europe and Asia (EA) Cruise Operations ..."
Carnival Corporation,4/15/2020,MarketWatch,/news/search?q=site%3awww.marketwatch.com&FORM=NWBCLM,"Shares of Carnival Corp. CCL rallied 1.43% to $25.61 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index SPX rising 0.53% to 6,118. ..."
Carnival Corporation,4/15/2020,Yahoo Finance,/news/search?q=site%3afinance.yahoo.com&FORM=NWBCLM,"Carnival (CCL) has been one of the most searched-for stocks on Zacks.com lately. So, you might want to look at some of the facts that could shape the stock's performance in the near term."
Carnival Corporation,4/15/2020,U.S. News & World Report,/news/search?q=site%3amoney.usnews.com&FORM=NWBCLM,"Carnival Corp. engages in the operation of cruise ships ... The company was founded in 1972 and is headquartered in Miami, FL. U.S. News compares companies to their industry peers based on ..."
Carnival Corporation,4/15/2020,MarketWatch,/news/search?q=site%3awww.marketwatch.com&FORM=NWBCLM,"Shares of Carnival Corp. CCL advanced 1.40% to $26.09 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index SPX rising 0.24% to 6,144.15 ..."
Carnival Corporation,4/15/2020,Nasdaq,/news/search?q=site%3awww.nasdaq.com&FORM=NWBCLM,Carnival entered 2020 with ... The Motley Fool Stock Advisor analyst team just identified what they believe are the 10 best stocks for investors to buy now… and Carnival Corp. wasn’t one ...
Occidental Petroleum,4/17/2020,Yahoo Finance,/news/search?q=site%3afinance.yahoo.com&FORM=NWBCLM,"The company's stock has had a rough ride, down nearly 32% from its peak in April. Last year alone, it dropped more than 17%, mostly due ... As mentioned by Oxy, this is part of a broader strategy ..."
Occidental Petroleum,4/17/2020,"Occidental Petroleum Stock Falls After Q4 Revenue Miss, Retail Sees Buying Opportunity",https://www.msn.com/en-us/money/companies/occidental-petroleum-stock-falls-after-q4-revenue-miss-retail-sees-buying-opportunity/ar-AA1zl383?ocid=BingNewsVerp,"Occidental Petroleum (OXY) shares fell 1% after the ... One user felt this was the right time to build a new position in the stock. Over the past year, Occidental shares have fallen 19.3%."
Occidental Petroleum,4/17/2020,Occidental Petroleum Stock is Near a 52-Week Low. Will Berkshire Buy More?,https://www.msn.com/en-us/money/topstocks/occidental-petroleum-stock-is-near-a-52-week-low-will-berkshire-buy-more/ar-AA1yd1c0?ocid=BingNewsVerp,"Occidental Petroleum stock ... $46 after a dip in the stock. It soon recovered to above $50. Occidental stock finished Friday just above its 52-week low of $45.17 set on Dec. 19, when Berkshire ..."
Occidental Petroleum,4/17/2020,Nasdaq,/news/search?q=site%3awww.nasdaq.com&FORM=NWBCLM,OCCIDENTAL PETROLEUM CORP (OXY) is a large-cap value stock in the Oil & Gas Operations industry. The rating using this strategy is 60% based on the firm’s underlying fundamentals and the stock ...
Diamondback Energy,4/17/2020,Is Diamondback Energy (FANG) the Most Promising Energy Stock According to Analysts?,https://www.msn.com/en-us/money/general/is-diamondback-energy-fang-the-most-promising-energy-stock-according-to-analysts/ar-AA1z4OpX?ocid=BingNewsVerp,"The US power demand growth remained weak between 2000 and 2020 ... stance on the company’s stock, giving a “Buy” rating. The rating is based on Diamondback Energy, Inc. (NASDAQ:FANG ..."
Diamondback Energy,4/17/2020,Diamondback Energy Inc. stock underperforms Monday when compared to competitors,https://www.msn.com/en-us/money/top-stocks/diamondback-energy-inc-stock-underperforms-monday-when-compared-to-competitors/ar-AA1AaSvj?ocid=BingNewsVerp,"Shares of Diamondback ... on July 17th. The stock underperformed when compared to some of its competitors Monday, as EOG Resources Inc. fell 5.04% to $120.54, Devon Energy Corp. fell 5.00% to ..."
Diamondback Energy,4/17/2020,Yahoo Finance,/news/search?q=site%3afinance.yahoo.com&FORM=NWBCLM,"signifying shifts of -6.04% and +35.84%, respectively, from the last year. Additionally, investors should keep an eye on any recent revisions to analyst forecasts for Diamondback Energy."
Diamondback Energy,4/17/2020,Benzinga.com,/news/search?q=site%3awww.benzinga.com&FORM=NWBCLM,"Diamondback Energy stock's eight-day simple moving average (SMA) of $157.44, 20-day SMA of $162.17 and 50-day SMA of $165.17 all flash bearish signals, as the stock trades beneath each level."
Diamondback Energy,4/17/2020,Business Insider,/news/search?q=site%3amarkets.businessinsider.com&FORM=NWBCLM,market-moving breaking financial news. Try Now>> See today’s best-performing stocks on TipRanks >> Read More on FANG: Diamondback Energy NewsMORE Related Stocks Indices Commodities Currencies Stocks ...
Diamondback Energy,4/17/2020,Seeking Alpha,/news/search?q=site%3aseekingalpha.com&FORM=NWBCLM,"Diamondback Energy (NASDAQ:FANG) -1.3% in Friday's trading following a report from The Wall Street Journal that the company is in talks to buy Permian Basin oil producer Double Eagle, backed by ..."
Diamondback Energy,4/17/2020,MarketWatch,/news/search?q=site%3awww.marketwatch.com&FORM=NWBCLM,"Shares of Diamondback Energy Inc. FANG slid 3.68% to $156.12 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index SPX falling 1.71% to 6,013 ..."
Diamondback Energy,4/17/2020,MarketWatch,/news/search?q=site%3awww.marketwatch.com&FORM=NWBCLM,"Shares of Diamondback Energy Inc. FANG slid 4.04% to $155.46 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index SPX falling 0.27% to ..."
Devon Energy,4/17/2020,Yahoo Finance,/news/search?q=site%3afinance.yahoo.com&FORM=NWBCLM,"I'll cut to the chase. Devon Energy (NYSE: DVN) is an attractive stock, but only for a specific type of investor. Here's what you need to know about the company's prospects in 2025 and whether the ..."
Devon Energy,4/17/2020,Devon Energy Corp. stock outperforms competitors on strong trading day,https://www.msn.com/en-us/money/topstocks/devon-energy-corp-stock-outperforms-competitors-on-strong-trading-day/ar-AA1zokxu?ocid=BingNewsVerp,"Shares of Devon Energy Corp. rallied 7.71% to $37.57 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index rising 0.24% to 6,144.15 and ..."
Devon Energy,4/17/2020,ETF Daily News,/news/search?q=site%3awww.etfdailynews.com&FORM=NWBCLM,The stock has a 50 day moving average of ... a P/E/G ratio of 1.04 and a beta of 1.98. Devon Energy has a 12 month low of $30.39 and a 12 month high of $55.09. The company has a current ratio ...
Devon Energy,4/17/2020,Business Insider,/news/search?q=site%3amarkets.businessinsider.com&FORM=NWBCLM,DVN stock has declined 17% over the past 12 months. Is DVN Stock a Buy? The stock of Devon Energy has a consensus Moderate Buy rating among 19 Wall Street analysts. That rating is based on 13 Buy ...
Devon Energy,4/17/2020,MarketWatch,/news/search?q=site%3awww.marketwatch.com&FORM=NWBCLM,"Shares of Devon Energy Corp. DVN shed 1.03% to $33.75 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index SPX falling 0.76% to 5,994.57 ..."
Devon Energy,4/17/2020,Devon Shares Rise 12.8% in a Month: Good Time to Buy the Stock?,https://www.msn.com/en-us/money/markets/devon-shares-rise-12-8-in-a-month-good-time-to-buy-the-stock/ar-BB1rrfT3?ocid=BingNewsVerp,Let’s delve deeper and find out factors that can help investors decide whether it is a good entry point to add DVN stock to their portfolio. Devon Energy’s multi-basin portfolio and focus on ...
Devon Energy,4/17/2020,Benzinga.com,/news/search?q=site%3awww.benzinga.com&FORM=NWBCLM,"There are no upcoming dividends for Devon Energy.The last dividend paid out to investors was $0.24 on March 31, 2025 The next dividend payout for Devon Energy (DVN) will be on March 31 ..."
Devon Energy,4/17/2020,The Motley Fool,/news/search?q=site%3awww.fool.com&FORM=NWBCLM,"In a nutshell, Devon Energy is an excellent stock for investors who are optimistic about oil and gas over the long term. The company's recent results showed good operational progress, notably ..."
Devon Energy,4/17/2020,MarketWatch,/news/search?q=site%3awww.marketwatch.com&FORM=NWBCLM,"Shares of Devon Energy Corp. DVN shed 3.27% to $33.97 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index SPX falling 0.27% to 6,051.97 ..."
United Airlines,4/16/2020,"United Airlines Q1 Earnings Preview: Analyst Estimates, Safety Concerns, Underperformance To Delta — Key Items To Watch",https://www.msn.com/en-us/money/news/united-airlines-q1-earnings-preview-analyst-estimates-safety-concerns-underperformance-to-delta-key-items-to-watch/ar-BB1lGbXO?ocid=BingNewsVerp,"Leading airline company United Airlines Holdings Inc (NASDAQ:UAL) will report first-quarter financial results after market close Tuesday, April 16 ... stock closed down Monday 1.82% at $41.04 ..."
United Airlines,4/16/2020,Investopedia,/news/search?q=site%3awww.investopedia.com&FORM=NWBCLM,"Gary Hershorn / Getty Images United Airlines was the best-performing stock in the S&P 500 on Wednesday, gaining 12% and trading at its highest level since February 2020, when the spread of Covid ..."
United Airlines,4/16/2020,Yahoo Finance,/news/search?q=site%3afinance.yahoo.com&FORM=NWBCLM,It's not good news over ... The Motley Fool Stock Advisor analyst team just identified what they believe are the 10 best stocks for investors to buy now… and United Airlines wasn’t one of ...
United Airlines,4/16/2020,Barron's,/news/search?q=site%3awww.barrons.com&FORM=NWBCLM,United Airlines stock has fallen 14% since the beginning of April. What to look for in its earnings report.
United Airlines,4/16/2020,Benzinga.com,/news/search?q=site%3awww.benzinga.com&FORM=NWBCLM,"United Airlines shares are trading lower by 15% since Monday's open. The stock is down amid rising trade tensions, higher costs and global uncertainty. Next: Get access to a new market-moving ..."
United Airlines,4/16/2020,The Motley Fool,/news/search?q=site%3awww.fool.com&FORM=NWBCLM,"The long-term thesis behind buying the stock is in ... It's not good news over the near term; the share price reaction says a lot. However, Kirby outlined that United was adjusting and would ..."
Darden Restaurants,4/20/2020,,https://www.msn.com/en-us/money/topstocks/darden-restaurants-stock-leads-s-p-gainers-as-ceo-says-consumers-still-spending/ar-AA1Bj8eU?ocid=BingNewsVerp,Darden Restaurants shares led S&P 500 gainers Thursday morning as its CEO said consumers are still spending at its ...
Darden Restaurants,4/20/2020,,https://www.nbcdfw.com/news/business/money-report/darden-restaurants-sales-disappoint-as-olive-garden-longhorn-steakhouse-miss-expectations/3796737/,Olive Garden and LongHorn Steakhouse reported weaker-than-expected same-store sales growth in Darden’s latest quarter.
Darden Restaurants,4/20/2020,Darden Restaurants Stock Hits All-Time High of $189.66,https://www.msn.com/en-us/money/topstocks/darden-restaurants-stock-hits-all-time-high-of-189-66/ar-AA1xWDrr?ocid=BingNewsVerp,"With analyst price targets ranging from $145 to $230, the stock's future trajectory remains a subject of keen interest among market observers. In other recent news, Darden Restaurants has been ..."
Darden Restaurants,4/20/2020,MarketWatch,/news/search?q=site%3awww.marketwatch.com&FORM=NWBCLM,"Shares of Darden ... for the stock market, with the S&P 500 Index SPX rising 0.55% to 5,770.20 and the Dow Jones Industrial Average DJIA rising 0.52% to 42,801.72. Darden Restaurants Inc. closed ..."
Darden Restaurants,4/20/2020,Yahoo Finance,/news/search?q=site%3afinance.yahoo.com&FORM=NWBCLM,"In this article, we are going to take a look at where Darden Restaurants, Inc. (NYSE:DRI) stands against other high growth food stocks to buy. The global food industry has always stimulated ..."
Darden Restaurants,4/20/2020,U.S. News & World Report,/news/search?q=site%3amoney.usnews.com&FORM=NWBCLM,"Darden Restaurants, Inc. is a full-service restaurant company, which engages in the provision of restaurant services. It operates through the following segments: Olive Garden, LongHorn Steakhouse ..."
Darden Restaurants,4/20/2020,MarketWatch,/news/search?q=site%3awww.marketwatch.com&FORM=NWBCLM,"Shares of Darden Restaurants Inc. DRI slipped 1.21% to $192.31 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index SPX falling 1.78% to ..."
Darden Restaurants,4/20/2020,Kiplinger,/news/search?q=site%3awww.kiplinger.com&FORM=NWBCLM,"Darden did not indicate if or when its other brands would join the program. Is DRI stock a buy, sell or hold? Heading into today's session, Darden Restaurants ... me with news and offers from ..."
Halliburton,4/17/2020,Halliburton (HAL) Stock Moves -0.04%: What You Should Know,https://www.msn.com/en-us/money/topstocks/halliburton-hal-stock-moves-0-04-what-you-should-know/ar-AA1wAYqB?ocid=BingNewsVerp,"In the latest trading session, Halliburton (HAL) closed at $26.79, marking a -0.04% move from the previous day. The stock's change was more than the S&P 500's daily loss of 1.11%. At the same time ..."
Halliburton,4/17/2020,Think Twice About Buying the 20% YTD Dip in Halliburton Stock,https://www.msn.com/en-us/money/topstocks/think-twice-about-buying-the-20-ytd-dip-in-halliburton-stock/ar-AA1vFLO2?ocid=BingNewsVerp,"With declining earnings estimates and a Zacks Rank #4 (Sell), Halliburton stock is not the bargain it may appear to be. Investors would be wise to wait for clear signs of improvement before ..."
Halliburton,4/17/2020,TheStreet.com,/news/search?q=site%3awww.thestreet.com&FORM=NWBCLM,"Halliburton reported a loss of $1 billion, or $1.16 a share, for the first quarter, down from profit of $152 million, or 17 cents a share ... for the rest of 2020. Watch the full video above ..."
Halliburton,4/17/2020,MarketWatch,/news/search?q=site%3awww.marketwatch.com&FORM=NWBCLM,"Shares of Halliburton Co. HAL slid 3.44% to $24.15 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index SPX falling 1.22% to 5,778.15 and ..."
Halliburton,4/17/2020,Nasdaq,/news/search?q=site%3awww.nasdaq.com&FORM=NWBCLM,"Adding to investor concerns, the Zacks Oil & Gas Field Services industry ranks in the bottom 17% of all industries ... let’s break down why Halliburton stock may not be the best bet right ..."
Ventas,4/20/2020,Yahoo Finance,/news/search?q=site%3afinance.yahoo.com&FORM=NWBCLM,"Ventas, Inc.’s VTR diverse portfolio of healthcare ... there seems to be additional room for growth of this stock. In order to meet the rising demand, the company is expanding its SHOP portfolio ..."
Ventas,4/20/2020,,https://www.etfdailynews.com/2025/03/21/ventas-inc-nysevtr-receives-72-20-average-price-target-from-analysts/,"Ventas, Inc. (NYSE:VTR – Get Free Report) has earned a consensus recommendation of “Moderate Buy” from the twelve research ..."
