Stock,Date,Headline,Snippet,Label,Open,High,Low,Close,Volume,Return,Volatility,Ticker,EWMA_Volatility
APA Corporation,4/17/2020,,Citi lowered the firm’s price target on APA Corp. (APA) to $20 from $24 and keeps a Neutral rating on the shares. The firm updated oil and gas ...,Real,6.7474,7.6984,6.7203,7.6894,26718200,0.1335,0.1672,APA,0.1243
APA Corporation,4/17/2020,Yahoo Finance,"In this article, we are going to take a look at where APA Corporation (NASDAQ ... down from 62% in 2020. Rising inflation has cut into retirees’ spending power, and 68% of them are burdened ...",Fake,6.7474,7.6984,6.7203,7.6894,26718200,0.1335,0.1672,APA,0.1243
APA Corporation,4/17/2020,Yahoo Finance,we are going to take a look at where APA Corporation (NASDAQ:APA) stands against other 52-week low dividend stocks to avoid. Navigating the stock market can feel like sailing through stormy seas ...,Fake,6.7474,7.6984,6.7203,7.6894,26718200,0.1335,0.1672,APA,0.1243
APA Corporation,4/17/2020,Investing,"The company’s performance in the last quarter was below investor expectations, leading to a decline in stock value during the trading session. APA Corporation announced its financial and ...",Real,6.7474,7.6984,6.7203,7.6894,26718200,0.1335,0.1672,APA,0.1243
APA Corporation,4/17/2020,MarketWatch,"Shares of APA Corp. APA shed 8.74% to $18.89 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index SPX falling 1.76% to 5,849.72 and Dow ...",Real,6.7474,7.6984,6.7203,7.6894,26718200,0.1335,0.1672,APA,0.1243
APA Corporation,4/17/2020,APA Corp. stock underperforms Monday when compared to competitors,"Shares of APA Corp ... which the company reached on April 8th. The stock underperformed when compared to some of its competitors Monday, as EOG Resources Inc. fell 5.04% to $120.54, Schlumberger ...",Real,6.7474,7.6984,6.7203,7.6894,26718200,0.1335,0.1672,APA,0.1243
Carnival Corporation,4/15/2020,,"Carnival Corp. closed 25.35% short of its 52-week high of $28.72, which the company reached on January 31st.",Real,11.88,12.43,11.57,12.38,55875300,-0.0104,0.1514,CCL,0.1311
Carnival Corporation,4/15/2020,Carnival Corp. stock underperforms Tuesday when compared to competitors,"Shares of Carnival Corp. shed 5.80% to $21.91 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index falling 1.22% to 5,778.15 and Dow ...",Real,11.88,12.43,11.57,12.38,55875300,-0.0104,0.1514,CCL,0.1311
Carnival Corporation,4/15/2020,Yahoo Finance,"I won't sugarcoat it: Leading cruise line operator Carnival Corporation (NYSE: CCL) has been a poor long-term investment. Over the past 20 years, Carnival's share price has taken investors on a ...",Fake,11.88,12.43,11.57,12.38,55875300,-0.0104,0.1514,CCL,0.1311
Carnival Corporation,4/15/2020,MarketWatch,"Shares of Carnival Corp. CCL advanced 1.40% to $26.09 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index SPX rising 0.24% to 6,144.15 ...",Real,11.88,12.43,11.57,12.38,55875300,-0.0104,0.1514,CCL,0.1311
Carnival Corporation,4/15/2020,Yahoo Finance,"Carnival Corporation & recently announced significant financial moves, including the pricing of a $1 billion private offering of senior unsecured notes to refinance existing debt at a lower ...",Real,11.88,12.43,11.57,12.38,55875300,-0.0104,0.1514,CCL,0.1311
Carnival Corporation,4/15/2020,U.S. News & World Report,"Carnival Corp. engages in the operation of cruise ships ... The company was founded in 1972 and is headquartered in Miami, FL. U.S. News compares companies to their industry peers based on ...",Real,11.88,12.43,11.57,12.38,55875300,-0.0104,0.1514,CCL,0.1311
Carnival Corporation,4/15/2020,Carnival Corp. stock underperforms Monday when compared to competitors,"Shares of Carnival Corp. slipped 7.56% to $19.08 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index falling 2.70% to 5,614.56 and Dow ...",Real,11.88,12.43,11.57,12.38,55875300,-0.0104,0.1514,CCL,0.1311
Carnival Corporation,4/15/2020,Nasdaq,Carnival entered 2020 with ... The Motley Fool Stock Advisor analyst team just identified what they believe are the 10 best stocks for investors to buy now… and Carnival Corp. wasn’t one ...,Fake,11.88,12.43,11.57,12.38,55875300,-0.0104,0.1514,CCL,0.1311
Occidental Petroleum,4/17/2020,Occidental Petroleum (OXY) Stock Sinks As Market Gains: What You Should Know,"Occidental Petroleum (OXY) ended the recent trading session at $47.92, demonstrating a -0.04% swing from the preceding day's closing price. The stock trailed the S&P 500, which registered a daily gain ...",Fake,11.7897,13.0519,11.7132,13.0327,51691000,0.1172,0.1382,OXY,0.1012
Occidental Petroleum,4/17/2020,Yahoo Finance,"OXY), despite the company's convincing bottom-line beat in its most recent earnings report. Recently, one analyst tracking the stock downgraded his recommendation on Occidental and cut his price ...",Fake,11.7897,13.0519,11.7132,13.0327,51691000,0.1172,0.1382,OXY,0.1012
Occidental Petroleum,4/17/2020,"Occidental Petroleum Stock Falls After Q4 Revenue Miss, Retail Sees Buying Opportunity","Occidental Petroleum (OXY) shares fell 1% after the ... One user felt this was the right time to build a new position in the stock. Over the past year, Occidental shares have fallen 19.3%.",Fake,11.7897,13.0519,11.7132,13.0327,51691000,0.1172,0.1382,OXY,0.1012
Occidental Petroleum,4/17/2020,Yahoo Finance,Most readers would already know that Occidental Petroleum's (NYSE:OXY) stock increased by 2.0% over the past week. Given that stock prices are usually aligned with a company's financial ...,Fake,11.7897,13.0519,11.7132,13.0327,51691000,0.1172,0.1382,OXY,0.1012
Occidental Petroleum,4/17/2020,Investing,"OXY) to ""Outperform"" from ""Strong Buy"" while it also lowered its price target by$17 to $64 given the weaker oil prices and the recent stock outperformance relative to peers. While Occidental ...",Fake,11.7897,13.0519,11.7132,13.0327,51691000,0.1172,0.1382,OXY,0.1012
Diamondback Energy,4/17/2020,,"With a market cap of $44.3 billion, Diamondback Energy, Inc. (FANG) is an independent oil and natural gas exploration and ...",Real,22.7845,25.3536,22.6962,25.3054,5523300,0.1245,0.1362,FANG,0.1028
Diamondback Energy,4/17/2020,Is Diamondback Energy (FANG) the Most Promising Energy Stock According to Analysts?,"The US power demand growth remained weak between 2000 and 2020 ... stance on the company’s stock, giving a “Buy” rating. The rating is based on Diamondback Energy, Inc. (NASDAQ:FANG ...",Fake,22.7845,25.3536,22.6962,25.3054,5523300,0.1245,0.1362,FANG,0.1028
Diamondback Energy,4/17/2020,Yahoo Finance,"signifying shifts of -6.04% and +35.84%, respectively, from the last year. Additionally, investors should keep an eye on any recent revisions to analyst forecasts for Diamondback Energy.",Real,22.7845,25.3536,22.6962,25.3054,5523300,0.1245,0.1362,FANG,0.1028
Diamondback Energy,4/17/2020,MarketWatch,"Shares of Diamondback Energy Inc. FANG slid 3.68% to $156.12 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index SPX falling 1.71% to 6,013 ...",Real,22.7845,25.3536,22.6962,25.3054,5523300,0.1245,0.1362,FANG,0.1028
Diamondback Energy,4/17/2020,Business Insider,market-moving breaking financial news. Try Now>> See today’s best-performing stocks on TipRanks >> Read More on FANG: Diamondback Energy NewsMORE Related Stocks Indices Commodities Currencies Stocks ...,Fake,22.7845,25.3536,22.6962,25.3054,5523300,0.1245,0.1362,FANG,0.1028
Diamondback Energy,4/17/2020,Benzinga.com,"Diamondback Energy stock's eight-day simple moving average (SMA) of $157.44, 20-day SMA of $162.17 and 50-day SMA of $165.17 all flash bearish signals, as the stock trades beneath each level.",Fake,22.7845,25.3536,22.6962,25.3054,5523300,0.1245,0.1362,FANG,0.1028
Diamondback Energy,4/17/2020,Seeking Alpha,"Diamondback Energy (NASDAQ:FANG) -1.3% in Friday's trading following a report from The Wall Street Journal that the company is in talks to buy Permian Basin oil producer Double Eagle, backed by ...",Real,22.7845,25.3536,22.6962,25.3054,5523300,0.1245,0.1362,FANG,0.1028
Diamondback Energy,4/17/2020,MarketWatch,"Shares of Diamondback Energy Inc. FANG slid 4.04% to $155.46 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index SPX falling 0.27% to ...",Real,22.7845,25.3536,22.6962,25.3054,5523300,0.1245,0.1362,FANG,0.1028
Devon Energy,4/17/2020,Yahoo Finance,"I'll cut to the chase. Devon Energy (NYSE: DVN) is an attractive stock, but only for a specific type of investor. Here's what you need to know about the company's prospects in 2025 and whether the ...",Fake,6.1748,6.9825,6.1371,6.9599,12742900,0.1397,0.1288,DVN,0.098
Devon Energy,4/17/2020,Devon Energy Corp. stock outperforms competitors on strong trading day,"Shares of Devon Energy Corp. rallied 7.71% to $37.57 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index rising 0.24% to 6,144.15 and ...",Real,6.1748,6.9825,6.1371,6.9599,12742900,0.1397,0.1288,DVN,0.098
Devon Energy,4/17/2020,MarketWatch,"Shares of Devon Energy Corp. DVN shed 1.03% to $33.75 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index SPX falling 0.76% to 5,994.57 ...",Real,6.1748,6.9825,6.1371,6.9599,12742900,0.1397,0.1288,DVN,0.098
Devon Energy,4/17/2020,Devon Shares Rise 12.8% in a Month: Good Time to Buy the Stock?,Let’s delve deeper and find out factors that can help investors decide whether it is a good entry point to add DVN stock to their portfolio. Devon Energy’s multi-basin portfolio and focus on ...,Fake,6.1748,6.9825,6.1371,6.9599,12742900,0.1397,0.1288,DVN,0.098
Devon Energy,4/17/2020,Benzinga.com,"There are no upcoming dividends for Devon Energy.The last dividend paid out to investors was $0.24 on March 31, 2025 The next dividend payout for Devon Energy (DVN) will be on March 31 ...",Fake,6.1748,6.9825,6.1371,6.9599,12742900,0.1397,0.1288,DVN,0.098
Devon Energy,4/17/2020,The Motley Fool,"In a nutshell, Devon Energy is an excellent stock for investors who are optimistic about oil and gas over the long term. The company's recent results showed good operational progress, notably ...",Real,6.1748,6.9825,6.1371,6.9599,12742900,0.1397,0.1288,DVN,0.098
Devon Energy,4/17/2020,MarketWatch,"Shares of Devon Energy Corp. DVN shed 3.27% to $33.97 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index SPX falling 0.27% to 6,051.97 ...",Real,6.1748,6.9825,6.1371,6.9599,12742900,0.1397,0.1288,DVN,0.098
United Airlines,4/16/2020,"United Airlines Q1 Earnings Preview: Analyst Estimates, Safety Concerns, Underperformance To Delta — Key Items To Watch","Leading airline company United Airlines Holdings Inc (NASDAQ:UAL) will report first-quarter financial results after market close Tuesday, April 16 ... stock closed down Monday 1.82% at $41.04 ...",Real,30.35,30.49,27.92,28.21,44795600,-0.1146,0.1283,UAL,0.1084
United Airlines,4/16/2020,Investopedia,"Gary Hershorn / Getty Images United Airlines was the best-performing stock in the S&P 500 on Wednesday, gaining 12% and trading at its highest level since February 2020, when the spread of Covid ...",Fake,30.35,30.49,27.92,28.21,44795600,-0.1146,0.1283,UAL,0.1084
United Airlines,4/16/2020,Yahoo Finance,"United Airlines (NASDAQ: UAL) stock has increased by 148% over the last year, but that doesn't mean it isn't still a great value opportunity. On the contrary, the stock still looks excellent, and ...",Fake,30.35,30.49,27.92,28.21,44795600,-0.1146,0.1283,UAL,0.1084
United Airlines,4/16/2020,MarketWatch,"Shares of United Airlines Holdings Inc. UAL advanced 1.78% to $93.81 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index SPX rising 1.59% ...",Real,30.35,30.49,27.92,28.21,44795600,-0.1146,0.1283,UAL,0.1084
United Airlines,4/16/2020,Benzinga.com,"United Airlines shares are trading lower by 15% since Monday's open. The stock is down amid rising trade tensions, higher costs and global uncertainty. Next: Get access to a new market-moving ...",Real,30.35,30.49,27.92,28.21,44795600,-0.1146,0.1283,UAL,0.1084
United Airlines,4/16/2020,Barron's,United Airlines stock has fallen 14% since the beginning of April. What to look for in its earnings report.,Fake,30.35,30.49,27.92,28.21,44795600,-0.1146,0.1283,UAL,0.1084
Darden Restaurants,4/20/2020,,Darden Restaurants shares led S&P 500 gainers Thursday morning as its CEO said consumers are still spending at its ...,Real,53.401,56.1955,53.1137,53.7927,2397700,-0.0246,0.1268,DRI,0.0978
Darden Restaurants,4/20/2020,,Darden Restaurants shares led S&P 500 gainers Thursday morning as its CEO said consumers are still spending at its ...,Real,52.46,54.91,52.43,53.37,760900,-0.0039,0.0747,DAY,0.0641
Darden Restaurants,4/20/2020,Darden Restaurants Stock Hits All-Time High of $189.66,"With analyst price targets ranging from $145 to $230, the stock's future trajectory remains a subject of keen interest among market observers. In other recent news, Darden Restaurants has been ...",Real,53.401,56.1955,53.1137,53.7927,2397700,-0.0246,0.1268,DRI,0.0978
Darden Restaurants,4/20/2020,Darden Restaurants Stock Hits All-Time High of $189.66,"With analyst price targets ranging from $145 to $230, the stock's future trajectory remains a subject of keen interest among market observers. In other recent news, Darden Restaurants has been ...",Real,52.46,54.91,52.43,53.37,760900,-0.0039,0.0747,DAY,0.0641
Darden Restaurants,4/20/2020,MarketWatch,"Shares of Darden ... for the stock market, with the S&P 500 Index SPX rising 0.55% to 5,770.20 and the Dow Jones Industrial Average DJIA rising 0.52% to 42,801.72. Darden Restaurants Inc. closed ...",Real,53.401,56.1955,53.1137,53.7927,2397700,-0.0246,0.1268,DRI,0.0978
Darden Restaurants,4/20/2020,MarketWatch,"Shares of Darden ... for the stock market, with the S&P 500 Index SPX rising 0.55% to 5,770.20 and the Dow Jones Industrial Average DJIA rising 0.52% to 42,801.72. Darden Restaurants Inc. closed ...",Real,52.46,54.91,52.43,53.37,760900,-0.0039,0.0747,DAY,0.0641
Darden Restaurants,4/20/2020,U.S. News & World Report,"Darden Restaurants, Inc. is a full-service restaurant company, which engages in the provision of restaurant services. It operates through the following segments: Olive Garden, LongHorn Steakhouse ...",Real,53.401,56.1955,53.1137,53.7927,2397700,-0.0246,0.1268,DRI,0.0978
Darden Restaurants,4/20/2020,U.S. News & World Report,"Darden Restaurants, Inc. is a full-service restaurant company, which engages in the provision of restaurant services. It operates through the following segments: Olive Garden, LongHorn Steakhouse ...",Real,52.46,54.91,52.43,53.37,760900,-0.0039,0.0747,DAY,0.0641
Darden Restaurants,4/20/2020,MarketWatch,"Shares of Darden Restaurants Inc. DRI slipped 1.21% to $192.31 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index SPX falling 1.78% to ...",Real,53.401,56.1955,53.1137,53.7927,2397700,-0.0246,0.1268,DRI,0.0978
Darden Restaurants,4/20/2020,MarketWatch,"Shares of Darden Restaurants Inc. DRI slipped 1.21% to $192.31 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index SPX falling 1.78% to ...",Real,52.46,54.91,52.43,53.37,760900,-0.0039,0.0747,DAY,0.0641
Darden Restaurants,4/20/2020,Yahoo Finance,"Darden Restaurants ... term stock price. The stock might move higher if these key numbers top expectations in the upcoming earnings report, which is expected to be released on March 20.",Real,53.401,56.1955,53.1137,53.7927,2397700,-0.0246,0.1268,DRI,0.0978
Darden Restaurants,4/20/2020,Yahoo Finance,"Darden Restaurants ... term stock price. The stock might move higher if these key numbers top expectations in the upcoming earnings report, which is expected to be released on March 20.",Real,52.46,54.91,52.43,53.37,760900,-0.0039,0.0747,DAY,0.0641
Darden Restaurants,4/20/2020,Kiplinger,"Darden did not indicate if or when its other brands would join the program. Is DRI stock a buy, sell or hold? Heading into today's session, Darden Restaurants ... me with news and offers from ...",Fake,53.401,56.1955,53.1137,53.7927,2397700,-0.0246,0.1268,DRI,0.0978
Darden Restaurants,4/20/2020,Kiplinger,"Darden did not indicate if or when its other brands would join the program. Is DRI stock a buy, sell or hold? Heading into today's session, Darden Restaurants ... me with news and offers from ...",Fake,52.46,54.91,52.43,53.37,760900,-0.0039,0.0747,DAY,0.0641
Darden Restaurants,4/20/2020,Investing,"The stock currently trades near its InvestingPro Fair Value, with analyst targets ranging from $145 to $230. In other recent news, Darden Restaurants reported second-quarter earnings for fiscal ...",Real,53.401,56.1955,53.1137,53.7927,2397700,-0.0246,0.1268,DRI,0.0978
Darden Restaurants,4/20/2020,Investing,"The stock currently trades near its InvestingPro Fair Value, with analyst targets ranging from $145 to $230. In other recent news, Darden Restaurants reported second-quarter earnings for fiscal ...",Real,52.46,54.91,52.43,53.37,760900,-0.0039,0.0747,DAY,0.0641
Darden Restaurants,4/20/2020,Yahoo Finance,"Darden Restaurants (DRI) is a stock that can certainly grab the attention of many investors, but do its recent returns compare favorably to the sector as a whole? A quick glance at the company's ...",Fake,53.401,56.1955,53.1137,53.7927,2397700,-0.0246,0.1268,DRI,0.0978
Darden Restaurants,4/20/2020,Yahoo Finance,"Darden Restaurants (DRI) is a stock that can certainly grab the attention of many investors, but do its recent returns compare favorably to the sector as a whole? A quick glance at the company's ...",Fake,52.46,54.91,52.43,53.37,760900,-0.0039,0.0747,DAY,0.0641
Halliburton,4/17/2020,Halliburton (HAL) Stock Moves -0.04%: What You Should Know,"In the latest trading session, Halliburton (HAL) closed at $26.79, marking a -0.04% move from the previous day. The stock's change was more than the S&P 500's daily loss of 1.11%. At the same time ...",Fake,6.3884,7.018,6.3791,7.018,34351200,0.1364,0.1256,HAL,0.0963
Halliburton,4/17/2020,Think Twice About Buying the 20% YTD Dip in Halliburton Stock,"With declining earnings estimates and a Zacks Rank #4 (Sell), Halliburton stock is not the bargain it may appear to be. Investors would be wise to wait for clear signs of improvement before ...",Fake,6.3884,7.018,6.3791,7.018,34351200,0.1364,0.1256,HAL,0.0963
Halliburton,4/17/2020,TheStreet.com,"Halliburton reported a loss of $1 billion, or $1.16 a share, for the first quarter, down from profit of $152 million, or 17 cents a share ... for the rest of 2020. Watch the full video above ...",Fake,6.3884,7.018,6.3791,7.018,34351200,0.1364,0.1256,HAL,0.0963
Halliburton,4/17/2020,MarketWatch,"Shares of Halliburton Co. HAL slid 3.44% to $24.15 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index SPX falling 1.22% to 5,778.15 and ...",Real,6.3884,7.018,6.3791,7.018,34351200,0.1364,0.1256,HAL,0.0963
Halliburton,4/17/2020,Nasdaq,"Adding to investor concerns, the Zacks Oil & Gas Field Services industry ranks in the bottom 17% of all industries ... let’s break down why Halliburton stock may not be the best bet right ...",Real,6.3884,7.018,6.3791,7.018,34351200,0.1364,0.1256,HAL,0.0963
Ventas,4/20/2020,,"With a market cap of $29.8 billion, Chicago, Illinois-based Ventas, Inc. (VTR) is a leading healthcare real estate investment ...",Real,25.4457,25.7981,23.9943,24.0363,3483600,-0.0844,0.125,VTR,0.0958
Ventas,4/20/2020,Yahoo Finance,"Ventas, Inc.’s VTR diverse portfolio of healthcare ... there seems to be additional room for growth of this stock. In order to meet the rising demand, the company is expanding its SHOP portfolio ...",Real,25.4457,25.7981,23.9943,24.0363,3483600,-0.0844,0.125,VTR,0.0958
Ventas,4/20/2020,,"Ventas, Inc. (NYSE:VTR – Get Free Report) has earned a consensus recommendation of “Moderate Buy” from the twelve research ...",Fake,25.4457,25.7981,23.9943,24.0363,3483600,-0.0844,0.125,VTR,0.0958
Enphase Energy,3/27/2020,Forbes,(Photo by John Keeble/Getty Images) Enphase Energy (NASDAQ ... as seen during the 2020 Covid crisis when its stock dropped by approximately 60% in a few quarters. This history raises concerns ...,Fake,34.05,34.5,31.27,32.38,5179200,-0.1038,0.1243,ENPH,0.1131
Enphase Energy,3/27/2020,Why Enphase Energy Stock Is Down Today,Susquehanna analyst Biju Perincheril maintained Enphase Energy with a Positive rating and maintained a $140 price target on the stock Friday. Related News: What’s Going On With Cannabis Stock SNDL?,Real,34.05,34.5,31.27,32.38,5179200,-0.1038,0.1243,ENPH,0.1131
Enphase Energy,3/27/2020,Seeking Alpha,"Enphase Energy, Inc., together with its subsidiaries, designs, develops, manufactures, and sells home energy solutions for the solar photovoltaic industry in the United States and internationally.",Real,34.05,34.5,31.27,32.38,5179200,-0.1038,0.1243,ENPH,0.1131
Enphase Energy,3/27/2020,,"Avantax Advisory Services Inc. lifted its stake in Enphase Energy, Inc. (NASDAQ:ENPH – Free Report) by 50.2% in the fourth ...",Real,34.05,34.5,31.27,32.38,5179200,-0.1038,0.1243,ENPH,0.1131
Enphase Energy,3/27/2020,"Enphase Energy, Inc. (ENPH) Is a Trending Stock: Facts to Know Before Betting on It","Enphase Energy (ENPH) has recently been on Zacks.com's list of the most searched stocks. Therefore, you might want to consider some of the key factors that could influence the ... $2.27 billion ...",Fake,34.05,34.5,31.27,32.38,5179200,-0.1038,0.1243,ENPH,0.1131
Enphase Energy,3/27/2020,Yahoo Finance,"In this article, we are going to take a look at where Enphase Energy ... plummeted by 32% in late March 2020 compared to early February, according to the Solar Energy Industries Association.",Fake,34.05,34.5,31.27,32.38,5179200,-0.1038,0.1243,ENPH,0.1131
Enphase Energy,3/27/2020,Benzinga.com,"Explore Enphase Energy stock price, quotes, charts and forecasts with Benzinga. Stay updated on market trends for ENPH. Enphase Energy reports its fourth-quarter financial results after Tuesday's ...",Real,34.05,34.5,31.27,32.38,5179200,-0.1038,0.1243,ENPH,0.1131
Enphase Energy,3/27/2020,The Motley Fool,"Gross margins improved to 53.2%, above the projected range of 49% to 52%. Founded in 2006, Enphase Energy specializes in solar energy products. Its core offering is the semiconductor-based ...",Real,34.05,34.5,31.27,32.38,5179200,-0.1038,0.1243,ENPH,0.1131
Enphase Energy,3/27/2020,Yahoo Finance,"In this article, we are going to take a look at where Enphase Energy, Inc. (NASDAQ ... shifts well before these factors are reflected in stock prices. When insiders buy shares of their own company ...",Fake,34.05,34.5,31.27,32.38,5179200,-0.1038,0.1243,ENPH,0.1131
Enphase Energy,3/27/2020,Nasdaq,Enphase Energy (NASDAQ: ENPH ... as evident in the 2020 Covid crisis when its stock plummeted by approximately 60% in a few quarters. This historical precedent raises concerns that Enphase ...,Real,34.05,34.5,31.27,32.38,5179200,-0.1038,0.1243,ENPH,0.1131
Boeing,4/20/2020,,The U.S. military awarded Boeing a key new contract to build the latest generation of jet fighters over rival Lockheed Martin ...,Real,147.21,151.63,142.5,143.61,34983800,-0.0675,0.1216,BA,0.1005
Boeing,4/20/2020,The Motley Fool,"Investing in Boeing includes considering its key role in aerospace and defense, weighed against high capital expenditures. Buying Boeing stock ... more than 20 months in 2019 and 2020.",Real,147.21,151.63,142.5,143.61,34983800,-0.0675,0.1216,BA,0.1005
Boeing,4/20/2020,Yahoo Finance,"There has been some interesting and mixed news flow around ... come into service in 2020, helping to drive the next cycle of widebody airplanes. Moreover, Emirates is Boeing's key customer for ...",Fake,147.21,151.63,142.5,143.61,34983800,-0.0675,0.1216,BA,0.1005
Boeing,4/20/2020,Seeking Alpha,"Boeing (NYSE:BA ... there is 10% downside to $133.44. Valuing the stock in line with peers provides a $178 price target, implying 20% upside, and a $270.22 price target in a more upbeat scenario.",Fake,147.21,151.63,142.5,143.61,34983800,-0.0675,0.1216,BA,0.1005
Simon Property Group,4/20/2020,Seeking Alpha,"Simon Property Group remains an attractive investment due ... were consistent until the cut as a result of the pandemic in 2020. Fortunately, the dividend growth has been strong since then and ...",Real,40.7274,42.9583,39.3709,40.5692,6498400,-0.0408,0.1205,SPG,0.0977
Simon Property Group,4/20/2020,Nasdaq,"Despite its solid financials, Simon Property Group underperformed its peer Realty Income Corporation’s (O) 10.6% surge over the past 52-week period. Among the 28 analysts covering the SPG stock ...",Real,40.7274,42.9583,39.3709,40.5692,6498400,-0.0408,0.1205,SPG,0.0977
Simon Property Group,4/20/2020,,"Simon Property Group Inc. closed 16.12% short of its 52-week high of $190.14, which the company reached on March 3rd.",Real,40.7274,42.9583,39.3709,40.5692,6498400,-0.0408,0.1205,SPG,0.0977
Simon Property Group,4/20/2020,Yahoo Finance,"Simon Property Group is the second-largest real estate investment trust in the United States. Its portfolio includes an interest in 229 properties: 134 traditional malls, 70 premium outlets ...",Real,40.7274,42.9583,39.3709,40.5692,6498400,-0.0408,0.1205,SPG,0.0977
Simon Property Group,4/20/2020,Yahoo Finance,"Simon Property Group recently announced an innovative partnership with Shopify and Leap to enhance e-commerce brand solutions, aiming to strengthen physical retail setups. Despite this forward ...",Fake,40.7274,42.9583,39.3709,40.5692,6498400,-0.0408,0.1205,SPG,0.0977
Simon Property Group,4/20/2020,Nasdaq,"Looking at options history for Simon Property Group (NYSE ... take on this stock in the last 30 days, setting an average price target of $205.0. Turn $1000 into $1270 in just 20 days?",Fake,40.7274,42.9583,39.3709,40.5692,6498400,-0.0408,0.1205,SPG,0.0977
