Stock,Date,Headline,Content,Label
Carnival Corporation,4/15/2020,Yahoo Finance,"Carnival (CCL) has been one of the most searched-for stocks on Zacks.com lately. So, you might want to look at some of the facts that could shape the stock's performance in the near term.",Fake
Carnival Corporation,4/15/2020,U.S. News & World Report,"Carnival Corp. engages in the operation of cruise ships ... The company was founded in 1972 and is headquartered in Miami, FL. U.S. News compares companies to their industry peers based on ...",Real
Carnival Corporation,4/15/2020,MarketWatch,"Shares of Carnival Corp. CCL advanced 1.40% to $26.09 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index SPX rising 0.24% to 6,144.15 ...",Real
Carnival Corporation,4/15/2020,Nasdaq,Carnival entered 2020 with ... The Motley Fool Stock Advisor analyst team just identified what they believe are the 10 best stocks for investors to buy now… and Carnival Corp. wasn’t one ...,Fake
Occidental Petroleum,4/17/2020,Yahoo Finance,"The company's stock has had a rough ride, down nearly 32% from its peak in April. Last year alone, it dropped more than 17%, mostly due ... As mentioned by Oxy, this is part of a broader strategy ...",Real
Occidental Petroleum,4/17/2020,"Occidental Petroleum Stock Falls After Q4 Revenue Miss, Retail Sees Buying Opportunity","Occidental Petroleum (OXY) shares fell 1% after the ... One user felt this was the right time to build a new position in the stock. Over the past year, Occidental shares have fallen 19.3%.",Fake
Occidental Petroleum,4/17/2020,Occidental Petroleum Stock is Near a 52-Week Low. Will Berkshire Buy More?,"Occidental Petroleum stock ... $46 after a dip in the stock. It soon recovered to above $50. Occidental stock finished Friday just above its 52-week low of $45.17 set on Dec. 19, when Berkshire ...",Real
Occidental Petroleum,4/17/2020,Nasdaq,OCCIDENTAL PETROLEUM CORP (OXY) is a large-cap value stock in the Oil & Gas Operations industry. The rating using this strategy is 60% based on the firm’s underlying fundamentals and the stock ...,Real
Diamondback Energy,4/17/2020,Is Diamondback Energy (FANG) the Most Promising Energy Stock According to Analysts?,"The US power demand growth remained weak between 2000 and 2020 ... stance on the company’s stock, giving a “Buy” rating. The rating is based on Diamondback Energy, Inc. (NASDAQ:FANG ...",Fake
Diamondback Energy,4/17/2020,Diamondback Energy Inc. stock underperforms Monday when compared to competitors,"Shares of Diamondback ... on July 17th. The stock underperformed when compared to some of its competitors Monday, as EOG Resources Inc. fell 5.04% to $120.54, Devon Energy Corp. fell 5.00% to ...",Real
Diamondback Energy,4/17/2020,Yahoo Finance,"signifying shifts of -6.04% and +35.84%, respectively, from the last year. Additionally, investors should keep an eye on any recent revisions to analyst forecasts for Diamondback Energy.",Real
Diamondback Energy,4/17/2020,Benzinga.com,"Diamondback Energy stock's eight-day simple moving average (SMA) of $157.44, 20-day SMA of $162.17 and 50-day SMA of $165.17 all flash bearish signals, as the stock trades beneath each level.",Fake
Diamondback Energy,4/17/2020,Business Insider,market-moving breaking financial news. Try Now>> See today’s best-performing stocks on TipRanks >> Read More on FANG: Diamondback Energy NewsMORE Related Stocks Indices Commodities Currencies Stocks ...,Fake
Diamondback Energy,4/17/2020,Seeking Alpha,"Diamondback Energy (NASDAQ:FANG) -1.3% in Friday's trading following a report from The Wall Street Journal that the company is in talks to buy Permian Basin oil producer Double Eagle, backed by ...",Real
Diamondback Energy,4/17/2020,MarketWatch,"Shares of Diamondback Energy Inc. FANG slid 3.68% to $156.12 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index SPX falling 1.71% to 6,013 ...",Real
Diamondback Energy,4/17/2020,MarketWatch,"Shares of Diamondback Energy Inc. FANG slid 4.04% to $155.46 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index SPX falling 0.27% to ...",Real
Devon Energy,4/17/2020,Yahoo Finance,"I'll cut to the chase. Devon Energy (NYSE: DVN) is an attractive stock, but only for a specific type of investor. Here's what you need to know about the company's prospects in 2025 and whether the ...",Fake
Devon Energy,4/17/2020,Devon Energy Corp. stock outperforms competitors on strong trading day,"Shares of Devon Energy Corp. rallied 7.71% to $37.57 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index rising 0.24% to 6,144.15 and ...",Real
Devon Energy,4/17/2020,ETF Daily News,The stock has a 50 day moving average of ... a P/E/G ratio of 1.04 and a beta of 1.98. Devon Energy has a 12 month low of $30.39 and a 12 month high of $55.09. The company has a current ratio ...,Real
Devon Energy,4/17/2020,Business Insider,DVN stock has declined 17% over the past 12 months. Is DVN Stock a Buy? The stock of Devon Energy has a consensus Moderate Buy rating among 19 Wall Street analysts. That rating is based on 13 Buy ...,Real
Devon Energy,4/17/2020,MarketWatch,"Shares of Devon Energy Corp. DVN shed 1.03% to $33.75 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index SPX falling 0.76% to 5,994.57 ...",Real
Devon Energy,4/17/2020,Devon Shares Rise 12.8% in a Month: Good Time to Buy the Stock?,Let’s delve deeper and find out factors that can help investors decide whether it is a good entry point to add DVN stock to their portfolio. Devon Energy’s multi-basin portfolio and focus on ...,Fake
Devon Energy,4/17/2020,Benzinga.com,"There are no upcoming dividends for Devon Energy.The last dividend paid out to investors was $0.24 on March 31, 2025 The next dividend payout for Devon Energy (DVN) will be on March 31 ...",Fake
Devon Energy,4/17/2020,The Motley Fool,"In a nutshell, Devon Energy is an excellent stock for investors who are optimistic about oil and gas over the long term. The company's recent results showed good operational progress, notably ...",Real
Devon Energy,4/17/2020,MarketWatch,"Shares of Devon Energy Corp. DVN shed 3.27% to $33.97 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index SPX falling 0.27% to 6,051.97 ...",Real
United Airlines,4/16/2020,"United Airlines Q1 Earnings Preview: Analyst Estimates, Safety Concerns, Underperformance To Delta — Key Items To Watch","Leading airline company United Airlines Holdings Inc (NASDAQ:UAL) will report first-quarter financial results after market close Tuesday, April 16 ... stock closed down Monday 1.82% at $41.04 ...",Real
United Airlines,4/16/2020,Investopedia,"Gary Hershorn / Getty Images United Airlines was the best-performing stock in the S&P 500 on Wednesday, gaining 12% and trading at its highest level since February 2020, when the spread of Covid ...",Fake
United Airlines,4/16/2020,Yahoo Finance,It's not good news over ... The Motley Fool Stock Advisor analyst team just identified what they believe are the 10 best stocks for investors to buy now… and United Airlines wasn’t one of ...,Fake
United Airlines,4/16/2020,Barron's,United Airlines stock has fallen 14% since the beginning of April. What to look for in its earnings report.,Fake
United Airlines,4/16/2020,Benzinga.com,"United Airlines shares are trading lower by 15% since Monday's open. The stock is down amid rising trade tensions, higher costs and global uncertainty. Next: Get access to a new market-moving ...",Real
United Airlines,4/16/2020,The Motley Fool,"The long-term thesis behind buying the stock is in ... It's not good news over the near term; the share price reaction says a lot. However, Kirby outlined that United was adjusting and would ...",Fake
Darden Restaurants,4/20/2020,,Darden Restaurants shares led S&P 500 gainers Thursday morning as its CEO said consumers are still spending at its ...,Real
Darden Restaurants,4/20/2020,,Olive Garden and LongHorn Steakhouse reported weaker-than-expected same-store sales growth in Darden’s latest quarter.,Real
Darden Restaurants,4/20/2020,Darden Restaurants Stock Hits All-Time High of $189.66,"With analyst price targets ranging from $145 to $230, the stock's future trajectory remains a subject of keen interest among market observers. In other recent news, Darden Restaurants has been ...",Real
Darden Restaurants,4/20/2020,MarketWatch,"Shares of Darden ... for the stock market, with the S&P 500 Index SPX rising 0.55% to 5,770.20 and the Dow Jones Industrial Average DJIA rising 0.52% to 42,801.72. Darden Restaurants Inc. closed ...",Real
Darden Restaurants,4/20/2020,Yahoo Finance,"In this article, we are going to take a look at where Darden Restaurants, Inc. (NYSE:DRI) stands against other high growth food stocks to buy. The global food industry has always stimulated ...",Fake
Darden Restaurants,4/20/2020,U.S. News & World Report,"Darden Restaurants, Inc. is a full-service restaurant company, which engages in the provision of restaurant services. It operates through the following segments: Olive Garden, LongHorn Steakhouse ...",Real
Darden Restaurants,4/20/2020,MarketWatch,"Shares of Darden Restaurants Inc. DRI slipped 1.21% to $192.31 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index SPX falling 1.78% to ...",Real
Darden Restaurants,4/20/2020,Kiplinger,"Darden did not indicate if or when its other brands would join the program. Is DRI stock a buy, sell or hold? Heading into today's session, Darden Restaurants ... me with news and offers from ...",Fake
Halliburton,4/17/2020,Halliburton (HAL) Stock Moves -0.04%: What You Should Know,"In the latest trading session, Halliburton (HAL) closed at $26.79, marking a -0.04% move from the previous day. The stock's change was more than the S&P 500's daily loss of 1.11%. At the same time ...",Fake
Halliburton,4/17/2020,Think Twice About Buying the 20% YTD Dip in Halliburton Stock,"With declining earnings estimates and a Zacks Rank #4 (Sell), Halliburton stock is not the bargain it may appear to be. Investors would be wise to wait for clear signs of improvement before ...",Fake
Halliburton,4/17/2020,TheStreet.com,"Halliburton reported a loss of $1 billion, or $1.16 a share, for the first quarter, down from profit of $152 million, or 17 cents a share ... for the rest of 2020. Watch the full video above ...",Fake
Halliburton,4/17/2020,MarketWatch,"Shares of Halliburton Co. HAL slid 3.44% to $24.15 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index SPX falling 1.22% to 5,778.15 and ...",Real
Halliburton,4/17/2020,Nasdaq,"Adding to investor concerns, the Zacks Oil & Gas Field Services industry ranks in the bottom 17% of all industries ... let’s break down why Halliburton stock may not be the best bet right ...",Real
Ventas,4/20/2020,Yahoo Finance,"Ventas, Inc.’s VTR diverse portfolio of healthcare ... there seems to be additional room for growth of this stock. In order to meet the rising demand, the company is expanding its SHOP portfolio ...",Real
Ventas,4/20/2020,,"Ventas, Inc. (NYSE:VTR – Get Free Report) has earned a consensus recommendation of “Moderate Buy” from the twelve research ...",Fake
